City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,axim,GH,79.56,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
5,isabela,PH,87.85,broken clouds,6.7085,121.9711,Isawad Resort
9,sorong,ID,82.54,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
16,luanda,AO,77.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
17,tamandare,BR,76.87,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
20,jeremie,HT,77.22,broken clouds,18.65,-74.1167,Auberge’Inn
23,san patricio,US,78.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
26,port-gentil,GA,80.47,moderate rain,-0.7193,8.7815,Fengshui Residence
29,luganville,VU,80.33,light rain,-15.5333,167.1667,The Espiritu Hotel
30,harper,LR,79.32,overcast clouds,4.375,-7.7169,Screensaver
49,bandarbeyla,SO,82.11,broken clouds,9.4942,50.8122,JABIR HOTEL
50,basco,PH,82.36,few clouds,20.4487,121.9702,Nathaniel's Lodge
60,kerema,PG,84.43,scattered clouds,-7.9631,145.7785,Frena Lodge
62,amahai,ID,85.33,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
69,bambanglipuro,ID,83.8,overcast clouds,-7.95,110.2833,Puri Brata
72,teluk nibung,ID,80.76,scattered clouds,3.001,99.8164,Hotel Assyifa
79,maumere,ID,85.19,overcast clouds,-8.6199,122.2111,Sylvia Hotel
84,mangrol,IN,83.12,clear sky,21.1167,70.1167,Hotel The Royal Honours
85,sabya,SA,85.62,scattered clouds,17.1495,42.6254,Aseel Hotel Apartment
88,kerrville,US,79.02,scattered clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
93,mount isa,AU,83.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
96,taunsa,PK,91.99,clear sky,30.7048,70.6505,Nan shop
100,numaligarh,IN,77.61,few clouds,26.6333,93.75,Mumai Hotel
102,tam ky,VN,77.56,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
107,porto novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
109,biak,ID,83.08,broken clouds,-0.9131,122.8766,Penginapan Kim
117,kawalu,ID,83.28,overcast clouds,-7.3817,108.2082,West Jontor
118,butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
124,sabha,LY,77.79,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
125,samarai,PG,82.17,broken clouds,-10.6167,150.6667,Nuli Sapi
126,bubaque,GW,76.98,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
127,lalmohan,BD,84.42,clear sky,22.3384,90.7419,Arifur Rahman Miraj
132,souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
133,dingle,PH,85.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
136,ranong,TH,87.73,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
137,bengkulu,ID,75.42,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
142,hun,LY,77.59,overcast clouds,29.1268,15.9477,Alrwasi Hotel
153,touros,BR,79.56,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
154,progreso,MX,77.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
155,san alberto,CO,77.38,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
156,finschhafen,PG,83.41,broken clouds,-6.6024,147.8681,Cossam Guest House
157,denpasar,ID,85.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
162,kodarma,IN,83.79,scattered clouds,24.4667,85.6,"Surywanshi House,Jalwabad ( C/o Gurmit Singh )"
164,vinh,VN,75.45,overcast clouds,18.6667,105.6667,Vuong Hoan 2
165,padang,ID,82.45,light rain,-0.9492,100.3543,Mercure Padang
166,tautira,PF,80.11,few clouds,-17.7333,-149.15,Pension Oaoa
169,omboue,GA,76.51,broken clouds,-1.5746,9.2618,Hotel Olako
170,faanui,PF,81.19,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,camargo,MX,80.02,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
177,aden,YE,82.78,clear sky,12.7794,45.0367,Sama Emirate Hotel
182,hobyo,SO,83.8,broken clouds,5.3505,48.5268,Iftin hotel hobyo
192,kadhan,PK,85.77,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
194,san andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
195,puerto escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
199,dubai,AE,79.05,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
200,catuday,PH,84.7,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
207,kroya,ID,83.88,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
209,dhanwar,IN,82.85,scattered clouds,24.4167,85.9833,K G N HOTEL
211,grenville,GD,80.65,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
212,vao,NC,75.0,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
218,nisia floresta,BR,80.98,light rain,-6.0911,-35.2086,Rancho Crepusculo
227,hambantota,LK,80.94,light rain,6.1241,81.1185,Bungalow 63
228,cozumel,MX,78.87,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
