City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,axim,GH,4.8699,-2.2405,79.56,85.0,35.0,4.79,scattered clouds
1,bukachacha,RU,52.9833,116.9167,49.32,46.0,100.0,3.49,overcast clouds
2,alexandria,EG,31.2156,29.9553,61.34,77.0,0.0,8.05,clear sky
3,makarov,RU,48.6333,142.8,38.05,73.0,41.0,5.48,scattered clouds
5,kysyl-syr,RU,63.8986,122.7617,35.1,99.0,100.0,7.38,overcast clouds
6,isabela,PH,6.7085,121.9711,87.85,71.0,77.0,7.81,broken clouds
7,srednekolymsk,RU,67.45,153.6833,29.28,87.0,15.0,5.19,few clouds
8,lokosovo,RU,61.1333,74.8167,31.98,74.0,18.0,5.23,few clouds
9,el real de santa maria,PA,8.109,-77.7325,75.87,99.0,100.0,0.31,overcast clouds
12,sorong,ID,-0.8833,131.25,82.54,78.0,100.0,8.9,overcast clouds
13,hamilton,US,39.1834,-84.5333,67.87,78.0,20.0,19.57,few clouds
14,kedrovyy,RU,56.1667,91.8167,55.87,85.0,100.0,5.57,overcast clouds
15,tukrah,LY,32.5341,20.5791,66.9,44.0,100.0,8.75,overcast clouds
16,ostrovnoy,RU,68.0531,39.5131,14.9,89.0,88.0,9.8,overcast clouds
17,barrow,US,71.2906,-156.7887,28.42,74.0,0.0,9.22,clear sky
18,otane,NZ,-39.8833,176.6333,66.0,56.0,10.0,3.87,clear sky
19,luanda,AO,-8.8368,13.2343,77.0,83.0,40.0,9.22,scattered clouds
20,tamandare,BR,-8.7597,-35.1047,76.87,80.0,100.0,7.96,overcast clouds
21,cherskiy,RU,68.75,161.3,25.74,75.0,100.0,10.96,overcast clouds
22,maceio,BR,-9.6658,-35.7353,74.64,88.0,40.0,2.3,scattered clouds
23,jeremie,HT,18.65,-74.1167,77.22,80.0,84.0,3.11,broken clouds
24,neyshabur,IR,36.2133,58.7958,66.81,54.0,100.0,3.02,light rain
26,tauranga,NZ,-37.6861,176.1667,66.94,53.0,39.0,1.01,scattered clouds
27,san patricio,US,28.017,-97.5169,78.69,81.0,1.0,10.38,clear sky
28,barsovo,RU,61.1667,73.1667,35.73,69.0,17.0,6.89,few clouds
29,yekimovichi,RU,54.1129,33.2965,33.08,73.0,53.0,4.27,light snow
30,port-gentil,GA,-0.7193,8.7815,80.47,81.0,45.0,5.12,moderate rain
31,emmett,US,43.8735,-116.4993,51.64,85.0,100.0,14.12,light rain
32,priyutovo,RU,53.9,53.9333,40.69,73.0,95.0,6.51,light rain
33,luganville,VU,-15.5333,167.1667,80.33,83.0,100.0,3.29,light rain
34,harper,LR,4.375,-7.7169,79.32,85.0,100.0,4.34,overcast clouds
35,sobolevo,RU,54.4299,31.8996,36.66,72.0,99.0,6.02,overcast clouds
36,krasnovishersk,RU,60.4078,57.082,32.25,82.0,100.0,6.11,overcast clouds
37,taksimo,RU,56.3444,114.8794,46.04,72.0,94.0,1.03,overcast clouds
38,gat,IL,31.61,34.7642,65.39,100.0,82.0,12.3,broken clouds
39,aktas,KZ,49.7789,72.9608,65.95,36.0,100.0,5.99,overcast clouds
40,grindavik,IS,63.8424,-22.4338,44.55,87.0,75.0,13.8,broken clouds
41,mbandaka,CD,0.0487,18.2603,71.29,83.0,80.0,1.1,broken clouds
42,laguna,US,38.421,-121.4238,74.14,56.0,0.0,21.85,clear sky
43,glace bay,CA,46.1969,-59.957,38.05,97.0,100.0,9.22,mist
44,carcaliu,RO,45.1833,28.15,39.65,73.0,7.0,2.51,clear sky
45,sembe,CG,1.6481,14.5806,70.11,93.0,39.0,1.32,scattered clouds
46,nyagan,RU,62.1406,65.3936,34.74,64.0,11.0,10.33,few clouds
47,qaanaaq,GL,77.484,-69.3632,6.17,79.0,19.0,7.16,few clouds
48,shingu,JP,33.7333,135.9833,59.52,94.0,100.0,3.71,light rain
49,kabanjahe,ID,3.1001,98.4908,70.59,81.0,100.0,1.81,overcast clouds
50,puerto ayora,EC,-0.7393,-90.3518,71.69,93.0,59.0,5.57,broken clouds
51,ketchikan,US,55.3422,-131.6461,61.27,31.0,0.0,6.91,clear sky
52,yarmouth,US,41.7057,-70.2286,48.25,75.0,0.0,10.36,clear sky
53,bandarbeyla,SO,9.4942,50.8122,82.11,79.0,78.0,2.73,broken clouds
54,basco,PH,20.4487,121.9702,82.36,72.0,20.0,7.27,few clouds
55,powell river,CA,49.8496,-124.5361,55.08,66.0,40.0,4.61,scattered clouds
56,teya,RU,60.3778,92.6267,29.98,80.0,98.0,8.43,overcast clouds
57,iquique,CL,-20.2208,-70.1431,60.84,79.0,38.0,2.1,scattered clouds
59,cabra,ES,37.4725,-4.4421,57.65,50.0,5.0,3.78,clear sky
60,kilwinning,GB,55.6533,-4.7067,51.39,95.0,100.0,6.91,overcast clouds
61,naze,JP,28.3667,129.4833,67.12,67.0,100.0,13.58,overcast clouds
62,atherton,GB,53.5237,-2.4935,48.42,92.0,100.0,1.99,light rain
63,mayskiy,RU,47.6931,40.1025,49.41,61.0,96.0,13.51,overcast clouds
64,hovd,MN,48.0056,91.6419,57.25,19.0,99.0,4.0,overcast clouds
65,kerema,PG,-7.9631,145.7785,84.43,69.0,46.0,7.23,scattered clouds
66,jalu,LY,29.0331,21.5482,74.41,21.0,98.0,7.61,overcast clouds
67,amahai,ID,-3.3333,128.9167,85.33,66.0,95.0,3.51,overcast clouds
69,sioux lookout,CA,50.1001,-91.917,44.67,45.0,100.0,6.91,light rain
70,bulgan,MN,48.8125,103.5347,58.44,23.0,61.0,3.67,broken clouds
71,vargashi,RU,55.3556,65.8467,39.2,57.0,100.0,12.33,overcast clouds
72,maniitsoq,GL,65.4167,-52.9,20.71,76.0,3.0,10.76,clear sky
73,flin flon,CA,54.7682,-101.865,37.99,98.0,100.0,7.87,overcast clouds
74,caldas da rainha,PT,39.4033,-9.1384,56.68,94.0,76.0,5.99,broken clouds
75,bambanglipuro,ID,-7.95,110.2833,83.8,69.0,100.0,4.61,overcast clouds
76,shahr-e kord,IR,32.3256,50.8644,33.57,100.0,100.0,2.3,fog
77,xuddur,SO,4.1213,43.8894,74.79,82.0,100.0,8.01,light rain
78,teluk nibung,ID,3.001,99.8164,80.76,87.0,38.0,3.06,scattered clouds
79,batemans bay,AU,-35.7167,150.1833,71.91,47.0,14.0,3.76,few clouds
80,raga,SS,8.4596,25.678,76.19,74.0,100.0,5.01,overcast clouds
81,paamiut,GL,61.994,-49.6678,33.46,94.0,100.0,11.43,overcast clouds
83,yar-sale,RU,66.8333,70.8333,17.82,84.0,82.0,10.51,broken clouds
84,sao bernardo,BR,-3.3614,-42.4178,73.63,96.0,80.0,3.42,broken clouds
85,erechim,BR,-27.6342,-52.2739,61.14,99.0,100.0,2.04,overcast clouds
86,maumere,ID,-8.6199,122.2111,85.19,66.0,91.0,3.69,overcast clouds
87,grand forks,US,47.9417,-97.4337,40.73,93.0,100.0,23.02,overcast clouds
88,palana,RU,59.1167,159.9667,30.79,76.0,4.0,5.84,clear sky
89,hollola,FI,61.05,25.4333,32.2,84.0,100.0,2.91,overcast clouds
91,loksa,EE,59.5764,25.7214,35.29,90.0,94.0,8.88,overcast clouds
92,mangrol,IN,21.1167,70.1167,83.12,85.0,1.0,8.34,clear sky
93,sabya,SA,17.1495,42.6254,85.62,60.0,35.0,5.95,scattered clouds
94,araguaina,BR,-7.1911,-48.2072,74.05,75.0,63.0,1.32,broken clouds
95,xining,CN,36.6167,101.7667,35.83,70.0,88.0,3.49,overcast clouds
96,kerrville,US,30.0474,-99.1403,79.02,88.0,40.0,4.61,scattered clouds
97,tuyen quang,VN,21.8233,105.2181,70.07,90.0,100.0,4.47,overcast clouds
